aid,ts,type,session
1517085,1659304800025,clicks,0
1563459,1659304904511,clicks,0
1309446,1659367439426,clicks,0
16246,1659367719997,clicks,0
1781822,1659367871344,clicks,0
1152674,1659367885796,clicks,0
1649869,1659369893840,carts,0
461689,1659369898050,carts,0
305831,1659370027105,orders,0
461689,1659370027105,orders,0
362233,1659370064916,clicks,0
1649869,1659370067686,clicks,0
1649869,1659371003682,clicks,0
984597,1659371033243,clicks,0
1649869,1659371042297,clicks,0
803544,1659371044075,clicks,0
1110941,1659371104329,clicks,0
1190046,1659371123063,clicks,0
1760685,1659375531385,clicks,0
631008,1659375544399,clicks,0
461689,1659380437483,clicks,0
1190046,1659385092507,clicks,0
1650637,1659457550038,clicks,0
313546,1659457555000,clicks,0
1650637,1659457556864,clicks,0
979517,1659457682485,clicks,0
351157,1659457782214,clicks,0
1062149,1659457834849,clicks,0
1157384,1659457854818,clicks,0
1841388,1659457862516,clicks,0
1469630,1659531937070,clicks,0
305831,1659626326984,clicks,0
1110548,1659626335719,clicks,0
1110548,1659627788270,clicks,0
305831,1659627805792,clicks,0
1650114,1659632910630,clicks,0
1604396,1659639917844,clicks,0
1009750,1659640759156,clicks,0
1800933,1659640798950,clicks,0
495779,1659640818182,clicks,0
394655,1659640824817,clicks,0
495779,1659644609064,clicks,0
789245,1659710146448,clicks,0
789245,1659710157188,carts,0
366890,1659710161039,clicks,0
361317,1659710180137,clicks,0
1700164,1659710277855,clicks,0
1755597,1659710348943,clicks,0
789245,1659710506088,clicks,0
784978,1659710544821,clicks,0
1171505,1659710615253,clicks,0
784978,1659710636756,clicks,0
1700164,1659710643493,clicks,0
784978,1659710660397,clicks,0
1521766,1659729979807,clicks,0
1725503,1659774028031,clicks,0
528847,1659774232119,clicks,0
1816325,1659774337835,clicks,0
984597,1659774357892,clicks,0
1072782,1659775873688,clicks,0
173702,1659775934223,clicks,0
1072782,1659775940204,clicks,0
1407538,1659894272577,clicks,0
1629651,1659964140685,clicks,0
1768568,1660015113752,clicks,0
1318324,1660015128071,clicks,0
1840418,1660024261875,clicks,0
1813509,1660024355795,clicks,0
1813509,1660024376430,clicks,0
667924,1660024473559,clicks,0
1226444,1660024558718,clicks,0
709550,1660051792855,clicks,0
709417,1660051861065,clicks,0
1225559,1660051954808,clicks,0
1048044,1660051960145,clicks,0
1052813,1660051970995,clicks,0
1225559,1660157753080,clicks,0
240346,1660157783198,clicks,0
1582117,1660244973157,clicks,0
1707783,1660397387901,clicks,0
1624436,1660427603773,clicks,0
1157411,1660427638022,clicks,0
358305,1660427747431,clicks,0
1202970,1660487679331,clicks,0
832192,1660503007938,clicks,0
1498443,1660503022035,clicks,0
723931,1660544235597,clicks,0
1436439,1660544269960,clicks,0
1693461,1660544287455,clicks,0
1206554,1660544299221,clicks,0
1110741,1660546139893,clicks,0
346352,1660546161409,clicks,0
1802050,1660546183298,clicks,0
154930,1660546209381,clicks,0
964169,1660546305529,clicks,0
964169,1660560966498,clicks,0
823637,1660561030556,clicks,0
964169,1660561080714,clicks,0
1411683,1660561089802,clicks,0
964169,1660561117871,clicks,0
1167722,1660561126514,clicks,0
964169,1660561134273,clicks,0
1619737,1660561148997,clicks,0
964169,1660561164172,clicks,0
1840615,1660561171658,clicks,0
512756,1660609863481,clicks,0
946219,1660610026720,clicks,0
1090479,1660610071104,clicks,0
1164387,1660610121763,clicks,0
1308544,1660610152804,clicks,0
719622,1660628330847,clicks,0
1750538,1660628368623,clicks,0
1443747,1660628405346,clicks,0
1750538,1660628462681,clicks,0
337364,1660664901829,clicks,0
1653945,1660664961835,clicks,0
1222638,1660665033172,clicks,0
1622987,1660665303865,clicks,0
608383,1660665647387,clicks,0
1460239,1660739325748,clicks,0
1436439,1660739348796,clicks,0
321397,1660743499983,clicks,0
828625,1660743606777,clicks,0
1624436,1660744083719,clicks,0
1157411,1660744125198,clicks,0
1537907,1660744194187,clicks,0
1070142,1660744220834,clicks,0
959208,1660762627101,clicks,0
275288,1660801729835,clicks,0
1318324,1660801799774,clicks,0
1072782,1660801833403,clicks,0
1072782,1660801845183,clicks,0
173702,1660801854389,clicks,0
1428075,1660835311717,clicks,0
892659,1660895211775,clicks,0
1127565,1660895222884,clicks,0
1072782,1660895259741,clicks,0
97836,1660895309293,clicks,0
384343,1660983402330,clicks,0
